time(milli s),40mm ,100mm,210mm,300mm,400mm,500mm,600mm,705mm,800mm,905mm,950mm
57389,0.51808,0.77224,1.261,1.6129,2.05767,2.43402,2.84457,3.26979,3.68035,4.07625,4.32063
57892,0.51808,0.76735,1.261,1.61779,2.06256,2.43402,2.84457,3.27468,3.67546,4.08113,4.31574
58396,0.51808,0.77224,1.261,1.6129,2.05767,2.43402,2.84946,3.26979,3.67546,4.08602,4.32063
58899,0.50831,0.77713,1.261,1.61779,2.06256,2.43402,2.84457,3.26979,3.67546,4.08113,4.31574
59403,0.52297,0.77224,1.261,1.61779,2.06745,2.43891,2.84946,3.26979,3.67546,4.08602,4.32063
59906,0.51808,0.77713,1.25611,1.61779,2.06256,2.42913,2.83969,3.26979,3.67546,4.08113,4.31574
,,,,,,,,,,,
,0.509449666666666,0.768613666666665,1.25309466666667,1.60822041666667,2.05013991666666,2.43894858333333,2.84111266666667,3.26604766666666,3.68039091666666,4.08280258333333,4.31806225
,40mm ,100mm,210mm,300mm,400mm,500mm,600mm,705mm,800mm,905mm,950mm
,,,,,,,,,,,
,,,,,,,,,,,
40,0.509449666666666,0.37658,,0,0.2,,,,,,
100,0.768613666666665,0.64145,,89,0.5928905,,,,,,
210,1.25309466666667,1.127045,,189,1.0343405,,,,,,
300,1.60822041666667,1.52435,,301,1.5287645,,,,,,
400,2.05013991666666,1.9658,,414,2.027603,,,,,,
500,2.43894858333333,2.40725,,544,2.601488,,,,,,
600,2.84111266666667,2.8487,,604,2.866358,,,,,,
700,3.26604766666666,3.29015,,701,3.2945645,,,,,,
800,3.68039091666666,3.7316,,805,3.7536725,,,,,,
905,4.08280258333333,4.1951225,,899,4.1686355,,,,,,
950,4.31806225,4.393775,,997,4.6012565,,,,,,
